STT,iso_code,country,population_2021,population_2020,area,density,growth_rate,world_percent,rank
0,CHN,China,1447065329,1439323776,9706961,149.0750121484984,0.5378604264784981,18.504563316104377,1.0
1,IND,India,1401310563,1380004385,3287590,426.24249465413874,1.5439210361639644,17.91946743446534,2.0
2,USA,United States,334058426,331002651,9372610,35.64198510340236,0.9231874701813192,4.271821853037548,3.0
3,IDN,Indonesia,278037263,273523615,1904569,145.98434763980723,1.6501858532397717,3.5554428914244722,4.0
4,PAK,Pakistan,227724796,220892340,881912,258.21714184635204,3.0931158590651098,2.9120647297527458,5.0
5,BRA,Brazil,214832901,212559417,8515767,25.22766311008744,1.069575760080288,2.747207703251443,6.0
6,NGA,Nigeria,214507696,206139589,923768,232.20948982861498,4.059437122483067,2.743049095901371,7.0
7,BGD,Bangladesh,167247491,164689383,147570,1133.343437012943,1.5532926005315195,2.1387021889383524,8.0
8,RUS,Russia,145899956,145934462,17098242,8.53303842582179,-0.02364486052650605,1.8657174071640292,9.0
9,MEX,Mexico,131046075,128932753,1964375,66.71133312122176,1.6390885564973479,1.6757711926110717,10.0
10,JPN,Japan,125802521,126476461,377930,332.8725451803244,-0.5328580470005395,1.608718465239416,11.0
11,ETH,Ethiopia,119590501,114963588,1104300,108.29530109571674,4.024676926402115,1.5292813347193006,12.0
12,PHL,Philippines,111913102,109581078,342353,326.8938843824941,2.1281265365905577,1.4311054520888515,13.0
13,EGY,Egypt,105390688,102334404,1002450,105.13311187590404,2.986565495607918,1.347699112086046,14.0
14,VNM,Vietnam,98655916,97338579,331212,297.86335036170186,1.3533554871393738,1.2615772125449596,15.0
15,TUR,Turkey,85484777,84339067,783562,109.09765532274409,1.3584570481435465,1.0931493118232005,17.0
16,IRN,Iran,85627052,83992949,1648195,51.9520153865289,1.9455240224986126,1.094968674565875,18.0
17,DEU,Germany,83975691,83783942,357114,235.15093499554763,0.22886127749872642,1.0738516499437991,19.0
18,THA,Thailand,70039646,69799978,513120,136.497595104459,0.3433640050717557,0.8956423998771217,20.0
19,GBR,United Kingdom,68401087,67886011,242900,281.6018402634829,0.758736582710684,0.874689082735852,21.0
20,FRA,France,65520147,65273511,551695,118.76153853125368,0.37785005926829207,0.8378486336064833,22.0
21,TZA,Tanzania,62539416,59734218,945087,66.17318405607102,4.696132457948976,0.7997320922089421,23.0
22,ITA,Italy,60320493,60461826,301336,200.17685573578996,-0.23375575855085762,0.7713572840201266,24.0
23,ZAF,South Africa,60474550,59308690,1221037,49.52720515430736,1.9657490327302796,0.7733273108417623,25.0
24,KEN,Kenya,55703607,53771296,580367,95.97996957097837,3.5935734187995116,0.712318166989194,26.0
25,MMR,Myanmar,55037700,54409800,676578,81.3471617463175,1.154020047859028,0.7038027820945449,27.0
26,KOR,South Korea,51331264,51269185,100210,512.2369424209161,0.1210844291751556,0.6564061799753543,28.0
27,COL,Colombia,51504213,50882891,1141748,45.10996559661151,1.221082347699154,0.6586177910594015,29.0
28,UGA,Uganda,47942521,45741007,241550,198.47866280273234,4.812998541986624,0.6130721243879403,30.0
29,ESP,Spain,46736811,46754778,505992,92.36669947350946,-0.03842815808043909,0.5976539282714745,31.0
30,ARG,Argentina,45847428,45195774,2780400,16.489507984462666,1.4418471957134749,0.5862808107584317,32.0
